"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI TIC MRM Frag=166.0V (** -> **) 02_WT_rRNA.d "
"No integration results available"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.957,5.971,5.993,7.75,6.94,3.00,14.70,1.11,0.036,0.037,69.32,69.84,5.732,5.847,6.020,6.045,69.32,69.84,0.68,77.26,,,  ,220.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,6.152,6.177,6.193,10.39,16.82,7.26,19.71,2.68,0.041,0.074,71.73,70.74,6.020,6.045,6.193,6.218,71.73,70.74,0.22,81.52,,,  ,220.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,6.214,6.367,6.450,27.88,231.72,100.00,52.91,36.97,0.235,0.191,73.03,76.43,6.193,6.218,6.451,6.467,73.03,76.43,0.62,103.12,,,  ,220.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@16.0 (282.0 -> 150.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,5.042,5.102,5.289,37367.80,132320.68,100.00,100.00,97.08,0.247,0.053,74.75,132.55,5.021,5.037,5.289,5.297,74.75,80.86,1.77,37444.02,,,  ,150.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,5.464,5.541,5.566,1038.74,3977.49,3.01,2.78,2.92,0.102,0.066,85.17,494.12,5.452,5.460,5.558,5.566,85.17,87.70,0.39,1125.84,,,  ,150.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@1.0 (333.0 -> 315.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.781,4.798,4.822,50.49,93.23,2.42,5.35,1.00,0.041,0.107,396.62,360.63,4.684,4.798,4.822,4.846,396.62,360.63,0.20,432.65,,,  ,315.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,5.124,5.154,5.182,168.92,288.35,7.48,17.89,3.09,0.058,0.030,521.97,541.08,5.097,5.122,5.260,5.301,521.97,541.08,0.91,700.73,,,  ,315.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.371,5.439,5.497,943.97,3246.27,84.25,100.00,34.82,0.125,0.057,603.43,644.81,5.260,5.301,5.505,5.521,603.43,644.81,1.09,1569.81,,,  ,315.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.538,5.635,5.733,507.61,3853.16,100.00,53.77,41.33,0.195,0.195,658.31,981.51,5.505,5.521,5.725,5.757,658.31,722.63,1.34,1197.94,,,  ,315.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.733,5.806,5.814,582.35,1842.25,47.81,61.69,19.76,0.081,0.057,981.51,1135.88,5.725,5.757,5.814,5.814,722.63,749.49,0.10,1329.16,,,  ,315.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@4.0 (333.0 -> 201.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,5.119,5.163,5.227,93.84,259.61,8.02,10.49,6.56,0.108,0.042,60.69,65.26,5.106,5.114,5.301,5.309,60.69,65.26,1.38,156.39,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,5.428,5.481,5.643,894.86,3238.55,100.00,100.00,81.78,0.216,0.051,73.72,91.34,5.415,5.424,5.643,5.652,73.72,82.82,2.30,970.81,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.643,5.684,5.733,78.09,245.58,7.58,8.73,6.20,0.090,0.058,91.34,110.67,5.643,5.652,5.741,5.741,82.82,86.61,1.74,162.63,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.733,5.798,5.815,139.87,216.22,6.68,15.63,5.46,0.081,0.010,110.67,91.86,5.741,5.741,5.807,5.815,86.61,90.04,0.14,229.22,,,  ,201.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@4.0 (333.0 -> 201.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.896,4.927,4.968,17.80,43.88,1.37,1.95,1.06,0.072,0.054,46.06,51.37,4.838,4.895,4.960,4.976,46.06,47.07,1.62,64.31,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,5.086,5.154,5.252,104.10,433.12,13.55,11.37,10.48,0.166,0.071,49.48,56.99,5.033,5.041,5.252,5.268,49.48,56.85,2.39,156.61,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.325,5.375,5.407,19.73,59.68,1.87,2.16,1.44,0.082,0.060,58.88,67.72,5.325,5.334,5.391,5.407,57.21,57.21,0.68,76.95,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.412,5.489,5.635,915.22,3195.71,100.00,100.00,77.30,0.223,0.050,74.90,102.49,5.391,5.407,5.627,5.635,74.90,102.49,1.72,999.61,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.635,5.692,5.725,83.93,223.96,7.01,9.17,5.42,0.090,0.041,102.49,120.38,5.627,5.635,5.717,5.733,102.49,108.26,0.86,190.09,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"6" ,5.725,5.766,5.831,39.75,124.86,3.91,4.34,3.02,0.106,0.058,120.38,111.35,5.717,5.733,5.823,5.823,114.55,114.55,0.96,154.30,,,  ,201.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"7" ,5.831,5.847,5.855,81.04,53.16,1.66,8.86,1.29,0.024,0.028,111.35,69.03,5.823,5.823,5.856,5.864,72.74,69.03,0.28,151.28,,,  ,201.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@12.0 (333.0 -> 169.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,4.841,4.863,4.907,10.28,18.02,4.21,9.74,1.61,0.067,0.028,49.88,49.88,4.839,4.855,4.879,5.082,49.88,49.88,1.96,60.16,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,5.122,5.187,5.215,21.66,67.73,15.83,20.51,6.05,0.092,0.054,55.68,64.35,4.879,5.082,5.220,5.277,55.68,64.35,0.59,83.45,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,5.540,5.611,5.650,61.77,231.10,54.01,58.47,20.65,0.110,0.066,94.95,105.24,5.489,5.530,5.644,5.660,94.95,105.24,0.53,163.37,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,5.653,5.717,5.766,101.45,374.32,87.48,96.05,33.45,0.113,0.074,105.51,159.66,5.644,5.660,5.750,5.774,105.51,116.17,1.31,213.03,,,  ,169.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,5.766,5.840,5.856,105.63,427.91,100.00,100.00,38.24,0.090,0.099,159.66,156.24,5.750,5.774,5.856,5.864,116.17,124.61,0.27,228.70,,,  ,169.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@20.0 (382.0 -> 250.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,5.451,5.471,5.491,16.75,19.30,8.27,74.58,4.51,0.040,0.019,84.58,84.58,5.430,5.447,5.626,5.642,84.58,84.58,0.98,101.32,,,  ,250.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,5.822,5.854,5.888,15.77,34.49,14.78,70.24,8.06,0.066,0.037,55.05,54.27,5.764,5.805,5.896,5.921,55.05,54.27,1.03,70.43,,,  ,250.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,6.011,6.069,6.085,8.66,23.20,9.95,38.58,5.42,0.074,0.051,63.08,67.74,5.896,5.921,6.126,6.151,57.73,67.74,2.62,74.18,,,  ,250.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"4" ,6.295,6.400,6.475,19.22,117.52,50.38,85.59,27.47,0.180,0.126,69.30,77.77,6.258,6.308,6.425,6.483,69.30,66.16,0.80,86.70,,,  ,250.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"5" ,6.475,6.508,6.734,22.45,233.27,100.00,100.00,54.53,0.258,0.212,77.77,61.67,6.425,6.483,6.782,6.806,66.16,61.67,2.58,88.04,,,  ,250.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@12.0 (336.0 -> 204.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"1" ,5.801,5.831,5.863,37.74,68.86,61.99,100.00,26.66,0.062,0.028,72.22,76.28,5.651,5.757,5.855,5.930,72.22,73.86,1.19,110.74,,,  ,204.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"2" ,5.930,5.988,6.037,33.50,111.08,100.00,88.77,43.00,0.107,0.053,76.26,83.20,5.855,5.930,6.054,6.152,75.01,80.75,1.18,111.61,,,  ,204.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"3" ,6.158,6.186,6.227,34.11,78.41,70.59,90.38,30.35,0.069,0.039,86.22,92.12,6.054,6.152,6.219,6.293,86.22,88.87,2.04,121.39,,,  ,204.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d"," +ESI TIC MRM Frag=166.0V (** -> **) 03_WT_rRNA.d "
"No integration results available"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 03_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"1" ,0.583,0.639,0.802,8.69,33.15,6.97,13.58,1.97,0.219,0.055,45.84,45.99,0.533,0.574,0.769,0.818,45.84,45.86,1.90,54.54,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"2" ,1.713,1.787,1.860,4.62,10.02,2.11,7.21,0.60,0.147,0.031,45.94,46.04,1.665,1.705,1.877,1.893,45.94,45.94,1.33,50.55,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"3" ,3.350,3.501,3.810,0.97,9.98,2.10,1.52,0.59,0.460,0.137,45.93,45.93,3.321,3.370,3.812,3.942,45.93,45.93,2.24,46.90,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"4" ,5.315,5.347,5.412,14.96,29.04,6.11,23.38,1.73,0.098,0.031,46.05,46.41,5.290,5.315,5.420,5.437,46.05,46.05,1.19,61.01,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"5" ,5.575,5.648,5.705,18.12,50.28,10.57,28.32,2.99,0.130,0.032,46.12,47.38,5.518,5.575,5.697,5.705,46.08,46.07,1.52,64.20,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"6" ,5.705,5.779,5.836,18.08,58.99,12.40,28.25,3.51,0.130,0.045,47.38,47.34,5.697,5.705,5.828,5.836,46.07,46.07,0.68,64.15,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"7" ,5.836,5.868,5.918,5.12,14.78,3.11,8.00,0.88,0.082,0.034,47.34,47.68,5.828,5.836,5.910,5.910,46.07,46.06,1.00,51.18,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"8" ,5.918,6.000,6.033,16.64,62.38,13.12,26.01,3.71,0.115,0.059,47.68,51.14,5.910,5.910,6.024,6.033,46.06,46.06,0.40,62.70,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"9" ,6.033,6.066,6.074,20.35,34.91,7.34,31.80,2.08,0.041,0.042,51.14,63.02,6.024,6.033,6.082,6.082,46.06,46.06,0.40,66.41,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"10" ,6.074,6.082,6.107,19.95,33.80,7.11,31.17,2.01,0.033,0.025,63.02,59.62,6.074,6.074,6.098,6.098,46.06,46.06,2.00,66.01,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"11" ,6.107,6.140,6.148,21.30,44.69,9.40,33.28,2.66,0.041,0.049,59.62,63.31,6.098,6.098,6.148,6.148,46.06,46.05,0.20,67.35,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"12" ,6.148,6.181,6.214,24.01,79.07,16.63,37.52,4.70,0.066,0.074,63.31,60.11,6.140,6.140,6.205,6.214,46.05,46.05,0.80,70.07,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"13" ,6.214,6.247,6.312,34.20,127.82,26.88,53.43,7.60,0.099,0.082,60.11,59.13,6.205,6.214,6.304,6.312,46.05,46.05,1.60,80.24,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"14" ,6.312,6.345,6.362,28.32,70.55,14.83,44.25,4.20,0.049,0.048,59.13,69.20,6.304,6.312,6.354,6.362,46.05,46.04,0.40,74.37,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"15" ,6.362,6.387,6.420,29.94,97.07,20.41,46.78,5.78,0.058,0.058,69.20,72.51,6.354,6.362,6.411,6.411,46.04,46.04,0.75,75.98,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"16" ,6.420,6.478,6.536,53.79,309.54,65.08,84.04,18.42,0.116,0.123,72.51,89.96,6.411,6.411,6.527,6.544,46.04,46.04,1.00,99.83,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"17" ,6.536,6.560,6.585,47.86,132.04,27.76,74.77,7.86,0.050,0.066,89.96,83.49,6.527,6.544,6.585,6.594,46.04,46.03,1.00,93.89,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"18" ,6.585,6.668,6.817,64.00,475.59,100.00,100.00,28.30,0.232,0.131,83.49,47.37,6.585,6.594,6.809,6.817,46.03,46.02,1.31,110.03,,,  ,295.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"19" ,6.817,6.842,6.937,2.91,7.10,1.49,4.55,0.42,0.120,0.038,47.37,46.02,6.809,6.817,6.925,6.983,46.02,46.02,1.30,48.94,,,  ,295.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 163.0) 03_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"1" ,0.500,0.558,0.590,5.70,11.07,5.77,14.11,1.42,0.090,0.031,45.93,46.54,0.272,0.296,0.590,0.598,45.91,45.92,1.31,51.61,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"2" ,0.590,0.639,0.786,2.82,11.04,5.75,6.98,1.41,0.196,0.056,46.54,45.95,0.590,0.598,0.802,0.819,45.92,45.94,1.46,48.74,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"3" ,1.144,1.209,1.346,0.34,2.12,1.10,0.83,0.27,0.202,0.093,46.04,45.96,1.087,1.144,1.348,1.372,45.95,45.96,1.09,46.29,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"4" ,3.072,3.199,3.346,0.38,3.31,1.72,0.95,0.42,0.273,0.140,45.95,45.95,3.027,3.059,3.338,3.362,45.95,45.95,1.21,46.33,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"5" ,3.346,3.501,3.698,0.87,8.46,4.41,2.16,1.08,0.352,0.149,45.95,46.10,3.338,3.362,3.624,3.698,45.95,45.94,1.57,46.81,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"6" ,3.698,3.730,3.796,3.63,7.75,4.04,8.99,0.99,0.098,0.031,46.10,46.02,3.624,3.698,3.804,3.836,45.94,45.94,1.28,49.57,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"7" ,5.616,5.673,5.706,4.52,12.28,6.40,11.21,1.57,0.090,0.038,46.10,46.65,5.592,5.616,5.697,5.706,46.06,46.06,0.61,50.59,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"8" ,5.706,5.738,5.803,4.41,9.65,5.03,10.93,1.23,0.098,0.032,46.65,46.17,5.697,5.706,5.803,5.811,46.06,46.07,0.95,50.48,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"9" ,5.811,5.869,5.967,17.66,63.71,33.20,43.75,8.15,0.156,0.056,46.13,46.98,5.803,5.811,5.967,5.976,46.07,46.08,1.90,63.73,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"10" ,5.967,6.000,6.025,1.72,4.02,2.09,4.25,0.51,0.057,0.040,46.98,46.48,5.967,5.976,6.017,6.025,46.08,46.08,0.75,47.80,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"11" ,6.025,6.058,6.082,4.63,9.02,4.70,11.48,1.15,0.058,0.032,46.48,47.07,6.017,6.025,6.074,6.082,46.08,46.08,0.75,50.72,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"12" ,6.082,6.148,6.231,19.55,71.09,37.05,48.45,9.10,0.148,0.053,47.07,46.82,6.074,6.082,6.231,6.239,46.08,46.09,0.99,65.64,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"13" ,6.231,6.247,6.288,1.02,2.48,1.29,2.54,0.32,0.058,0.044,46.82,46.29,6.231,6.239,6.280,6.288,46.09,46.09,2.50,47.12,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"14" ,6.288,6.429,6.445,25.58,116.10,60.50,63.38,14.86,0.157,0.055,46.29,68.68,6.280,6.288,6.437,6.445,46.09,46.10,0.14,71.68,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"15" ,6.445,6.470,6.495,31.49,83.37,43.45,78.02,10.67,0.050,0.050,68.68,73.08,6.437,6.445,6.487,6.487,46.10,46.11,0.50,77.59,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"16" ,6.495,6.512,6.545,31.71,84.47,44.02,78.57,10.81,0.050,0.066,73.08,69.02,6.487,6.487,6.536,6.553,46.11,46.11,1.67,77.82,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\03_WT_rRNA.d" ,"17" ,6.545,6.578,6.603,29.45,87.19,45.44,72.97,11.16,0.058,0.066,69.02,67.97,6.536,6.553,6.594,6.603,46.11,46.11,0.60,75.56,,,  ,163.0,,,,,,,,,,,
