"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"3" ,0.481,0.509,0.560,10.74,25.57,8.96,31.85,3.89,0.079,0.035,2.59,1.00,0.465,0.487,0.552,0.566,-0.04,0.07,1.09,10.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"4" ,0.560,0.576,0.591,2.74,3.68,1.29,8.11,0.56,0.032,0.028,1.00,1.54,0.552,0.566,0.584,0.594,0.07,0.12,0.74,2.83,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"5" ,0.591,0.609,0.668,33.71,49.49,17.35,100.00,7.53,0.077,0.020,1.54,0.28,0.584,0.594,0.752,0.755,0.12,0.23,2.85,33.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"6" ,1.167,1.219,1.326,15.44,47.61,16.69,45.81,7.24,0.159,0.047,-0.37,-0.24,1.148,1.164,1.325,1.327,-0.37,-0.24,1.60,15.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"7" ,3.180,3.301,3.486,18.14,112.27,39.35,53.80,17.07,0.305,0.096,-1.07,-1.01,3.166,3.172,3.485,3.487,-1.07,-1.01,1.31,17.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"8" ,3.514,3.601,3.710,17.83,82.56,28.94,52.90,12.55,0.196,0.073,-0.94,-1.30,3.494,3.503,3.723,3.730,-0.94,-1.30,1.12,16.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\23_B8.d" ,"9" ,7.105,7.290,7.505,19.67,285.30,100.00,58.36,43.38,0.400,0.302,-0.43,16.36,7.026,7.030,7.505,7.509,-0.43,16.36,1.84,27.01,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d"," DAD1 - B:Sig=260,4  Ref=360,60 24_B9.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"1" ,0.361,0.379,0.392,24.46,28.00,9.79,62.74,3.96,0.031,0.033,-0.98,-35.23,0.353,0.354,0.394,0.394,-0.98,-35.23,0.38,3.84,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"2" ,0.408,0.426,0.478,12.40,31.27,10.93,31.82,4.43,0.070,0.041,-0.36,2.85,0.394,0.394,0.464,0.484,-0.36,-0.36,3.21,12.04,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"3" ,0.478,0.507,0.561,12.73,31.98,11.18,32.64,4.53,0.083,0.036,2.85,0.96,0.464,0.484,0.553,0.566,-0.36,-0.36,1.39,12.37,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"4" ,0.561,0.577,0.590,3.38,4.52,1.58,8.66,0.64,0.030,0.027,0.96,1.85,0.553,0.566,0.584,0.593,-0.36,-0.36,0.64,3.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"5" ,0.590,0.607,0.680,38.99,57.67,20.16,100.00,8.16,0.090,0.020,1.85,0.55,0.584,0.593,0.742,0.747,-0.14,-0.07,2.94,38.86,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"6" ,1.159,1.217,1.316,16.55,51.85,18.12,42.45,7.34,0.157,0.048,-0.34,-0.16,1.156,1.159,1.316,1.318,-0.34,-0.16,1.56,16.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"7" ,3.172,3.299,3.491,20.13,124.93,43.68,51.63,17.69,0.319,0.096,-1.05,-0.96,3.150,3.164,3.491,3.493,-1.07,-0.96,1.25,19.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"8" ,3.508,3.596,3.698,19.51,90.14,31.51,50.03,12.76,0.191,0.073,-0.92,-1.06,3.506,3.508,3.725,3.727,-0.95,-1.06,1.12,18.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\24_B9.d" ,"9" ,7.102,7.291,7.505,19.70,286.04,100.00,50.52,40.49,0.403,0.302,-0.64,16.42,7.029,7.032,7.505,7.509,-0.64,16.42,1.83,27.03,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d"," DAD1 - B:Sig=260,4  Ref=360,60 25_B10.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"1" ,0.361,0.379,0.392,25.37,29.22,10.22,59.42,3.96,0.031,0.033,-1.04,-37.29,0.354,0.355,0.394,0.395,-1.04,-37.29,0.38,3.55,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"2" ,0.409,0.427,0.476,12.23,30.14,10.54,28.64,4.08,0.067,0.040,-0.38,2.62,0.394,0.395,0.465,0.482,-0.38,-0.38,3.06,11.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"3" ,0.476,0.507,0.561,13.00,32.72,11.44,30.44,4.43,0.085,0.036,2.62,0.93,0.465,0.482,0.553,0.566,-0.38,-0.38,1.42,12.61,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"4" ,0.561,0.578,0.592,3.38,4.71,1.65,7.91,0.64,0.031,0.028,0.93,1.72,0.553,0.566,0.585,0.594,-0.38,-0.38,0.66,2.99,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"5" ,0.592,0.609,0.687,42.69,66.28,23.18,100.00,8.98,0.095,0.021,1.72,0.64,0.585,0.594,0.749,0.754,-0.15,-0.08,2.95,42.55,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"6" ,1.165,1.221,1.325,18.25,57.05,19.95,42.76,7.73,0.160,0.048,-0.37,-0.16,1.161,1.165,1.324,1.327,-0.37,-0.16,1.60,17.96,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"7" ,3.186,3.306,3.450,22.03,132.41,46.31,51.59,17.94,0.264,0.094,-1.03,-0.36,3.170,3.174,3.503,3.509,-1.03,-0.36,1.27,21.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"8" ,3.516,3.606,3.724,21.41,99.62,34.84,50.15,13.50,0.208,0.073,-0.86,-1.25,3.503,3.509,3.734,3.737,-0.86,-1.25,1.12,20.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\25_B10.d" ,"9" ,7.103,7.290,7.505,19.71,285.91,100.00,46.16,38.74,0.402,0.302,-0.60,16.39,7.029,7.031,7.505,7.509,-0.60,16.39,1.84,27.02,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d"," DAD1 - B:Sig=260,4  Ref=360,60 26_B11.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"1" ,0.361,0.379,0.392,26.06,29.35,10.27,61.69,4.04,0.031,0.033,-0.93,-38.53,0.353,0.355,0.394,0.394,-0.93,-38.53,0.37,3.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"2" ,0.408,0.425,0.476,12.56,30.44,10.66,29.73,4.19,0.068,0.040,0.21,3.12,0.394,0.394,0.464,0.483,0.21,0.52,3.43,12.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"3" ,0.476,0.506,0.557,11.65,25.34,8.87,27.58,3.49,0.081,0.032,3.12,1.01,0.464,0.483,0.553,0.566,1.09,0.92,0.95,12.68,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"4" ,0.591,0.609,0.667,42.25,61.97,21.70,100.00,8.54,0.076,0.020,1.70,0.67,0.584,0.593,0.745,0.748,0.90,0.58,2.84,43.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"5" ,1.163,1.217,1.321,18.29,56.77,19.88,43.29,7.82,0.158,0.048,-0.36,-0.16,1.160,1.163,1.320,1.323,-0.36,-0.16,1.61,18.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"6" ,3.176,3.300,3.485,22.20,137.15,48.02,52.55,18.90,0.310,0.095,-1.05,-0.86,3.167,3.171,3.485,3.487,-1.07,-0.86,1.26,21.21,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"7" ,3.505,3.599,3.715,21.22,99.23,34.74,50.23,13.67,0.210,0.073,-0.91,-1.26,3.495,3.501,3.730,3.735,-0.91,-1.26,1.11,20.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\26_B11.d" ,"8" ,7.104,7.290,7.505,19.69,285.62,100.00,46.61,39.35,0.402,0.302,-0.56,16.40,7.029,7.030,7.505,7.509,-0.56,16.40,1.84,27.02,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d"," DAD1 - B:Sig=260,4  Ref=360,60 27_B12.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"1" ,0.360,0.378,0.391,30.19,34.51,11.81,66.77,4.29,0.031,0.032,-1.32,-45.56,0.354,0.355,0.394,0.394,-1.32,-45.56,0.38,3.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"2" ,0.408,0.427,0.471,13.96,34.44,11.79,30.89,4.28,0.063,0.042,-0.34,3.46,0.394,0.394,0.464,0.477,-0.34,-0.34,2.68,13.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"3" ,0.471,0.500,0.560,13.96,32.95,11.28,30.87,4.10,0.089,0.033,3.46,0.60,0.464,0.477,0.551,0.567,-0.34,-0.34,1.38,13.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"4" ,0.560,0.578,0.594,2.71,3.95,1.35,6.00,0.49,0.034,0.029,0.60,1.31,0.551,0.567,0.586,0.596,-0.34,-0.34,0.67,2.37,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"5" ,0.594,0.613,0.698,45.21,75.60,25.88,100.00,9.40,0.105,0.023,1.31,0.61,0.586,0.596,0.740,0.760,-0.08,0.00,2.91,45.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"6" ,1.171,1.229,1.339,20.26,63.92,21.88,44.81,7.95,0.169,0.049,-0.32,-0.15,1.162,1.166,1.339,1.342,-0.33,-0.15,1.57,19.99,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"7" ,3.194,3.319,3.500,24.64,152.51,52.21,54.49,18.97,0.306,0.095,-1.06,-0.84,3.183,3.193,3.499,3.501,-1.08,-0.89,1.27,23.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"8" ,3.520,3.614,3.723,24.20,110.47,37.81,53.52,13.74,0.204,0.072,-0.91,-1.14,3.513,3.519,3.733,3.742,-0.91,-1.14,1.13,23.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"9" ,3.831,3.879,3.943,1.09,3.42,1.17,2.40,0.42,0.112,0.050,-1.41,-1.80,3.826,3.837,4.026,4.032,-1.47,-1.80,0.77,-0.52,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\27_B12.d" ,"10" ,7.081,7.291,7.505,19.94,292.12,100.00,44.11,36.34,0.425,0.303,-1.99,16.39,7.024,7.029,7.505,7.509,-2.03,16.39,1.81,27.03,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d"," DAD1 - B:Sig=260,4  Ref=360,60 28_C1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"1" ,0.362,0.378,0.392,19.98,22.43,7.88,47.39,3.15,0.030,0.033,-0.73,-31.06,0.353,0.355,0.394,0.395,-0.73,-31.06,0.39,3.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"2" ,0.409,0.426,0.481,11.55,29.12,10.23,27.41,4.09,0.073,0.039,-0.32,2.25,0.394,0.395,0.469,0.487,-0.32,-0.29,3.49,11.25,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"3" ,0.481,0.509,0.560,10.66,25.18,8.84,25.28,3.54,0.079,0.034,2.25,0.92,0.469,0.487,0.553,0.566,-0.29,-0.26,1.45,10.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"4" ,0.560,0.576,0.590,2.93,3.91,1.37,6.95,0.55,0.030,0.027,0.92,1.50,0.553,0.566,0.584,0.592,-0.26,-0.25,0.70,2.67,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"5" ,0.590,0.608,0.686,42.15,64.92,22.80,100.00,9.13,0.095,0.021,1.50,0.57,0.584,0.592,0.746,0.750,-0.15,-0.08,2.95,42.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"6" ,1.163,1.221,1.327,17.09,54.64,19.19,40.55,7.68,0.165,0.049,-0.37,-0.19,1.161,1.164,1.327,1.329,-0.37,-0.19,1.57,16.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"7" ,3.196,3.307,3.500,20.78,129.03,45.31,49.30,18.14,0.304,0.096,-0.95,-0.98,3.195,3.197,3.499,3.507,-1.04,-0.98,1.27,19.76,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"8" ,3.517,3.603,3.712,20.41,93.84,32.95,48.42,13.19,0.195,0.072,-0.89,-1.20,3.499,3.507,3.719,3.722,-0.89,-1.20,1.12,19.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"9" ,3.828,3.869,3.934,1.13,3.47,1.22,2.68,0.49,0.106,0.049,-1.37,-1.78,3.819,3.826,3.944,3.948,-1.37,-1.78,0.83,-0.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\28_C1.d" ,"10" ,7.104,7.294,7.505,19.48,284.76,100.00,46.21,40.03,0.402,0.302,-0.55,16.47,7.029,7.031,7.505,7.509,-0.55,16.47,1.76,27.01,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d"," DAD1 - B:Sig=260,4  Ref=360,60 29_C2.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"1" ,0.361,0.379,0.392,22.18,25.64,4.76,53.75,1.94,0.032,0.033,-1.07,-32.58,0.353,0.355,0.394,0.395,-1.07,-32.58,0.38,3.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"2" ,0.409,0.427,0.479,11.09,27.31,5.07,26.86,2.06,0.070,0.039,-0.39,2.14,0.394,0.395,0.466,0.485,-0.39,-0.39,3.25,10.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"3" ,0.479,0.509,0.560,11.71,29.19,5.42,28.37,2.21,0.081,0.036,2.14,0.98,0.466,0.485,0.553,0.566,-0.39,-0.39,1.37,11.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"4" ,0.589,0.607,0.664,41.27,60.95,11.32,100.00,4.61,0.075,0.020,1.72,0.30,0.584,0.592,0.740,0.749,-0.17,-0.11,2.87,41.12,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"5" ,1.167,1.221,1.314,18.16,57.79,10.74,44.00,4.37,0.147,0.049,-0.35,-0.12,1.162,1.164,1.330,1.335,-0.35,-0.12,1.60,17.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"6" ,3.190,3.304,3.485,21.47,132.05,24.53,52.03,9.98,0.295,0.095,-0.98,-0.93,3.180,3.182,3.498,3.501,-0.98,-0.93,1.28,20.52,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"7" ,3.508,3.602,3.714,21.87,101.51,18.86,53.00,7.67,0.206,0.073,-0.95,-1.20,3.498,3.501,3.719,3.724,-0.95,-1.20,1.12,20.81,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"8" ,3.822,3.869,3.938,2.11,6.72,1.25,5.10,0.51,0.116,0.051,-1.16,-1.76,3.820,3.822,3.945,3.947,-1.16,-1.76,0.87,0.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"9" ,7.048,7.295,7.506,29.40,538.22,100.00,71.23,40.69,0.458,0.325,-3.49,15.77,7.033,7.036,7.505,7.509,-3.49,-1.46,1.20,27.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\29_C2.d" ,"10" ,7.506,7.516,8.055,15.03,343.29,63.78,36.42,25.95,0.549,0.416,15.77,1.19,7.505,7.509,8.840,8.850,4.16,1.09,42.86,19.14,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d"," DAD1 - B:Sig=260,4  Ref=360,60 30_C3.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"1" ,0.362,0.380,0.393,14.78,16.10,5.67,41.73,2.49,0.031,0.032,-1.02,-18.75,0.354,0.356,0.396,0.396,-1.02,-18.75,0.37,3.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"2" ,0.408,0.424,0.482,9.80,24.48,8.61,27.66,3.78,0.074,0.037,-0.31,2.13,0.396,0.396,0.465,0.488,-0.31,-0.31,4.10,9.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"3" ,0.482,0.509,0.561,9.23,21.01,7.39,26.04,3.24,0.080,0.033,2.13,0.45,0.465,0.488,0.551,0.567,-0.31,-0.31,1.06,8.92,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"4" ,0.588,0.605,0.659,35.43,50.25,17.68,100.00,7.76,0.072,0.020,1.05,0.08,0.580,0.590,0.657,0.669,0.01,0.08,2.88,35.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"5" ,1.161,1.215,1.348,15.45,49.01,17.24,43.62,7.57,0.187,0.048,-0.40,-0.32,1.150,1.153,1.347,1.350,-0.40,-0.32,1.61,15.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"6" ,3.177,3.296,3.492,18.15,113.71,40.01,51.22,17.56,0.315,0.096,-1.06,-1.05,3.176,3.179,3.490,3.494,-1.11,-1.05,1.28,17.06,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"7" ,3.502,3.599,3.712,18.02,85.17,29.97,50.86,13.15,0.209,0.074,-1.03,-1.30,3.499,3.502,3.723,3.726,-1.03,-1.30,1.10,16.86,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"8" ,3.826,3.872,3.940,1.18,3.76,1.32,3.33,0.58,0.114,0.051,-1.44,-1.85,3.823,3.825,3.968,3.974,-1.44,-1.85,0.81,-0.43,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\30_C3.d" ,"9" ,7.105,7.291,7.505,19.60,284.23,100.00,55.32,43.88,0.400,0.302,-0.48,16.44,7.026,7.032,7.505,7.509,-0.48,16.44,1.82,27.00,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\32_C4.d"," DAD1 - B:Sig=260,4  Ref=360,60 32_C4.d"
